P,N,Word,Color,Congruency,Response,Accuracy,RT,Orientation,Accuracy2,RT2,Task
33,103,5,3,2,110,1,0.49972209997940797,1,1,0.44676702821743702,Test
33,104,1,4,0,122,0,0.402598536456935,2,1,0.462606001150562,Test
33,105,3,2,0,120,1,0.810432300000684,2,1,0.33584135639830498,Test
33,106,5,1,2,122,1,0.45617043646052502,1,1,0.46560271055204799,Test
33,107,2,2,1,120,1,0.56527977297082499,2,1,0.30227080939221201,Test
33,108,5,1,2,122,1,0.43401813646778498,0,0,0,Test
33,109,4,4,1,109,1,0.41379609997966299,0,0,0,Test
33,110,2,3,0,110,1,0.63997340938658498,1,1,0.512842288037064,Test
33,111,1,4,0,109,1,0.563077909406275,1,1,0.31643130938755398,Test
33,112,5,2,2,120,1,0.60099849998368904,0,0,0,Test
33,113,1,1,1,122,1,0.49711080000270202,1,1,0.373858882347122,Test
33,114,5,3,2,110,1,0.679211972950725,2,1,0.362199776340276,Test
33,115,4,1,0,122,1,1.0250089999754,0,0,0,Test
33,116,5,3,2,110,1,0.47010610002325898,0,0,0,Test
33,117,1,2,0,120,1,0.730758399993647,0,0,0,Test
33,118,4,4,1,109,1,0.41007939999690302,1,1,0.42218970000976702,Test
33,119,5,3,2,110,1,0.429905536468141,2,1,0.48842413644888399,Test
33,120,2,2,1,120,1,0.72880357294343401,1,1,0.52282504586037304,Test
33,121,3,1,0,122,1,0.62105957293533698,2,1,0.42344243644038199,Test
33,122,2,2,1,120,1,0.54825443646404903,2,1,0.45971464586909899,Test
33,123,3,3,1,120,0,0.85286697294213798,2,1,0.37474013643804899,Test
33,124,5,4,2,109,1,0.60495353647274897,2,1,0.658899945847224,Test
33,125,4,1,0,122,1,0.78061513646389402,1,1,0.28234247295768,Test
33,126,3,3,1,110,1,0.59417799999937404,0,0,0,Test
33,127,1,1,1,122,1,0.38718910000170598,0,0,0,Test
33,128,4,4,1,109,1,0.45505697294720499,2,1,0.35953180940123303,Test
33,129,5,3,2,110,1,0.68302544584730596,0,0,0,Test
33,130,3,2,0,120,1,0.81422107294201895,0,0,0,Test
33,131,4,4,1,109,1,0.504079499980435,1,1,0.54104847295093395,Test
33,132,2,1,0,122,1,0.64776210000854895,0,0,0,Test
33,133,5,3,2,110,1,0.53088003644370496,1,1,0.35565379998297397,Test
33,134,3,4,0,109,1,0.48837767294026002,2,1,0.34811533644096898,Test
33,135,5,2,2,120,1,0.77384413644904304,2,1,0.402264628210105,Test
33,136,2,4,0,109,1,0.56836800000746701,1,1,0.28603923643822798,Test
33,137,5,1,2,122,1,0.56207270000595599,1,1,0.47872027294943098,Test
33,138,2,2,1,120,1,0.61092599999392405,0,0,0,Test
33,139,5,3,2,110,1,0.39407660000142603,1,1,0.47691013987059699,Test
33,140,1,4,0,109,1,0.49237047295900999,2,1,0.46729661055724098,Test
33,141,3,2,0,120,1,0.59836823647492599,2,1,0.41076985638937902,Test
33,142,5,1,2,122,1,0.59578249999321997,1,1,0.370360682340106,Test
33,143,2,2,1,120,1,0.53318900940939795,2,1,0.35936790000414498,Test
33,144,5,1,2,122,1,0.54794547293567997,0,0,0,Test
33,145,4,4,1,109,1,0.442205736442702,0,0,0,Test
33,146,2,3,0,110,1,0.63022543644183304,1,1,0.24567175752599699,Test
33,147,1,4,0,109,1,0.57143723644549005,1,1,0.344876909424784,Test
33,148,5,2,2,120,1,0.37779720942489797,0,0,0,Test
33,149,1,1,1,122,1,0.50014729998656604,1,1,0.56062357293558296,Test
33,150,5,3,2,110,1,0.59573653643019497,2,1,0.44270637293811899,Test
33,151,4,1,0,122,1,0.63353157296660401,0,0,0,Test
33,152,5,3,2,110,1,0.63496319999103401,0,0,0,Test
33,153,1,2,0,120,1,1.10518963646609,0,0,0,Test
33,154,4,4,1,109,1,0.48547953646630099,1,1,0.54436310939490795,Test
33,155,5,3,2,110,1,0.54662980002467498,2,1,0.552811936475337,Test
33,156,2,2,1,120,1,0.74039667294709899,1,1,0.52678488235687804,Test
33,157,3,1,0,122,1,0.88112539998837802,2,1,0.44226714587421201,Test
33,158,2,2,1,120,1,0.500850936456118,2,1,0.44552313644089703,Test
33,159,3,3,1,110,1,0.31503213645191902,2,1,0.44046747294487398,Test
33,160,5,4,2,109,1,0.41488279998884497,2,1,0.31730213644914301,Test
33,161,4,1,0,122,1,0.36448467292939302,1,1,0.271200799994404,Test
33,162,3,3,1,110,1,0.60553940941463202,0,0,0,Test
33,163,1,1,1,122,1,0.42036109999753501,0,0,0,Test
33,164,4,4,1,109,1,0.31747297293623,2,1,0.397821174061392,Test
33,165,5,3,2,110,1,0.56069540002499696,0,0,0,Test
33,166,3,2,0,120,1,0.397656609391561,0,0,0,Test
33,167,4,4,1,109,1,0.34995817297021897,1,1,0.47830987407360198,Test
33,168,2,1,0,122,1,0.56523324584122803,0,0,0,Test
33,169,5,3,2,110,1,0.62582020001718797,1,1,0.52863563643768396,Test
33,170,3,4,0,109,1,0.50199570000404503,2,1,0.43299233645666402,Test
33,171,5,2,2,120,1,0.66769229999044899,2,1,0.38449258235050399,Test
33,172,2,4,0,109,1,0.58573163644177795,1,1,0.43129170002066503,Test
33,173,5,1,2,122,1,0.48283343645743998,1,1,0.31326227294630399,Test
33,174,2,2,1,120,1,0.51441763647017102,0,0,0,Test
33,175,5,3,2,0,0,0,1,1,0.61535497294971697,Test
33,176,1,4,0,109,1,0.54426523644360703,2,1,0.62691487296251602,Test
33,177,3,2,0,120,1,0.72161867294926196,2,1,0.53983840000000805,Test
33,178,5,1,2,122,1,0.72856030939146899,1,1,0.43666147295152802,Test
33,179,2,2,1,120,1,0.81322097295196705,2,1,0.41907300116145102,Test
33,180,5,1,2,122,1,0.85740043647820097,0,0,0,Test
33,181,4,4,1,109,1,0.51655843647313304,0,0,0,Test
33,182,2,3,0,110,1,0.46896983645274298,1,1,0.41010443645063799,Test
33,183,1,4,0,109,1,0.47081530001014499,1,1,0.40056559999357,Test
33,184,5,2,2,120,1,0.33518413646379502,0,0,0,Test
33,185,1,1,1,122,1,0.58614300002227504,1,1,0.39306140001281198,Test
33,186,5,3,2,110,1,0.75683333643246398,2,1,0.55852240000967901,Test
33,187,4,1,0,122,1,1.1377245364419699,0,0,0,Test
33,188,5,3,2,110,1,0.60046259997761797,0,0,0,Test
33,189,1,2,0,120,1,0.87477080000098795,0,0,0,Test
33,190,4,4,1,109,1,0.39223843647050699,1,1,0.512555136461742,Test
33,191,5,3,2,110,1,0.54689540000981696,2,1,0.38026447294396398,Test
33,192,2,2,1,120,1,0.61725743644637998,1,1,0.57747447295696497,Test
33,193,3,1,0,122,1,0.50891197292366996,2,1,0.35157084584352599,Test
33,194,2,2,1,122,0,0.52492580938269395,2,1,0.53318939998280301,Test
33,195,3,3,1,110,1,0.55439610939356498,2,1,0.44763250940013699,Test
33,196,5,4,2,109,1,0.81872803645092096,2,1,0.29489054586156299,Test
33,197,4,1,0,122,1,0.85814083646982897,1,1,0.37346070000785397,Test
33,198,3,3,1,110,1,0.35262069999589601,0,0,0,Test
33,199,1,1,1,122,1,0.37942470941925399,0,0,0,Test
33,200,4,4,1,109,1,0.34289319999515999,2,1,0.59264570000232197,Test
33,201,5,3,2,110,1,0.609163699991768,0,0,0,Test
33,202,3,2,0,120,1,0.605505436455132,0,0,0,Test
33,203,4,4,1,109,1,0.40942400941276003,1,1,0.58235973987029899,Test
33,204,2,1,0,122,1,0.94029313646024104,0,0,0,Test
33,205,5,3,2,110,1,0.55384663643781096,1,1,0.24670470342971401,Test
33,206,3,4,0,109,1,0.79819493644754402,2,1,0.270860445860308,Test
33,207,5,2,2,120,1,0.63335220000590198,2,1,0.48731890940689498,Test
33,208,2,4,0,109,1,0.48251780000282501,1,1,0.27228491881396599,Test
33,209,5,1,2,122,1,0.56764563644537702,1,1,0.444772272952832,Test
33,210,2,2,1,120,1,0.60269639999023605,0,0,0,Test
33,211,5,3,2,110,1,0.44250710000051202,1,1,0.50695540942251704,Test
33,212,1,4,0,109,1,0.55038357296143703,2,1,0.71996610937640104,Test
33,213,3,2,0,120,1,0.71737643645610705,2,1,0.37624857295304498,Test
33,214,5,1,2,122,1,0.81318759999703605,1,1,0.46847853646613702,Test
33,215,2,2,1,120,1,0.51568620000034604,2,1,0.504815399996005,Test
33,216,5,1,2,122,1,0.59147220000158995,0,0,0,Test
33,217,4,4,1,109,1,0.39950293645961199,0,0,0,Test
33,218,2,3,0,110,1,0.69064330001128804,1,1,0.40852940001059301,Test
33,219,1,4,0,109,1,0.66555910001625296,1,1,0.26972520002163902,Test
33,220,5,2,2,120,1,0.70375523643451698,0,0,0,Test
33,221,1,1,1,122,1,0.67451439998694696,1,1,0.29552939999848599,Test
33,222,5,3,2,110,1,0.62442639999790095,2,1,0.38097090000519501,Test
33,223,4,1,0,122,1,0.71719043643679503,0,0,0,Test
33,224,5,3,2,110,1,0.61722069999086704,0,0,0,Test
33,225,1,2,0,122,0,0.580088699993212,0,0,0,Test
33,226,4,4,1,109,1,0.47422230002121102,1,1,0.331655500020133,Test
33,227,5,3,2,110,1,0.664249136461876,2,1,0.50749410002026696,Test
33,228,2,2,1,120,1,1.71766740002204,1,1,0.52667049175943303,Test
33,229,3,1,0,122,1,0.63752803645911604,2,1,0.28452869999455299,Test
33,230,2,2,1,120,1,0.78956119998474605,2,1,0.39699663646751998,Test
33,231,3,3,1,110,1,0.298101636464708,2,1,0.28852989998995299,Test
33,232,5,4,2,109,1,0.37174209998920599,2,1,0.25972729999921301,Test
33,233,4,1,0,122,1,0.61009483644738804,1,1,0.37704463646514302,Test
33,234,3,3,1,110,1,0.70838009999715701,0,0,0,Test
33,235,1,1,1,122,1,0.47172860000864603,0,0,0,Test
33,236,4,4,1,109,1,0.41242089998559101,2,1,0.36085759999696199,Test
33,237,5,3,2,110,1,0.621689799998421,0,0,0,Test
33,238,3,2,0,120,1,0.62776183645473804,0,0,0,Test
33,239,4,4,1,109,1,0.491271599981701,1,1,0.27368169999681402,Test
33,240,2,1,0,122,1,0.72839070000918604,0,0,0,Test
33,241,5,3,2,110,1,0.50338139999075804,1,1,0.34642024585628001,Test
33,242,3,4,0,109,1,0.73659389998647395,2,1,0.43990749999647999,Test
33,243,5,2,2,120,1,0.72256939997896596,2,1,0.52295723644783698,Test
33,244,2,4,0,109,1,0.641943399998127,1,1,0.51836439999169703,Test
33,245,5,1,2,122,1,0.47398163645993902,1,1,0.51868950939388003,Test
33,246,2,2,1,120,1,0.59908043645555198,0,0,0,Test
33,247,5,3,2,110,1,0.45308860001387102,1,1,0.23613330000080199,Test
33,248,1,4,0,109,1,0.26852483645780001,2,1,0.24298043645103501,Test
