N,Word,Color,Congruency,Response,Accuracy,RT,Orientation,Accuracy2,RT2,P,Congruence,Type,Excluded
132,1,2,0,120,1,0.68461720005143401,2,1,0.40939080005046002,50,Incongruent,GO,0
133,5,4,2,109,1,0.68540391547139701,1,1,0,50,Neutral,NO-GO,0
134,4,1,0,122,1,0.52351635391824003,2,1,0.53039557696320105,50,Incongruent,GO,0
135,5,3,2,110,1,0.72601049998775102,1,1,0,50,Neutral,NO-GO,0
136,3,4,0,109,1,0.83021669997833702,1,1,0,50,Incongruent,NO-GO,0
137,5,2,2,120,1,0.483177838497795,1,1,0,50,Neutral,NO-GO,0
138,4,3,0,110,1,0.54813513846602302,1,1,0,50,Incongruent,NO-GO,0
139,5,2,2,120,1,0.43467053840868192,1,1,0,50,Neutral,NO-GO,0
140,3,3,1,110,1,0.49790457705967101,2,1,0.35749760002363501,50,Congruent,GO,0
141,5,4,2,109,1,0.83693433855660304,1,1,0,50,Neutral,NO-GO,0
142,1,1,1,122,1,0.65195920004043695,2,1,0.32348813849967001,50,Congruent,GO,0
143,5,3,2,110,1,0.55371457710862204,1,1,0,50,Neutral,NO-GO,0
144,1,1,1,122,1,0.62444863840937603,2,1,0.35015223850496102,50,Congruent,GO,0
145,2,2,1,120,1,0.54860960005316906,2,1,0.34932080004364302,50,Congruent,GO,1
146,1,1,1,122,1,0.998683238518424,2,1,0.42120689991861587,50,Congruent,GO,0
147,2,2,1,120,1,0.44908317702356693,1,1,0,50,Congruent,NO-GO,0
148,4,3,0,110,1,0.94578795402776505,2,1,0.78031658509280488,50,Incongruent,GO,0
149,5,1,2,122,1,0.70648101554252185,2,1,0.817554900073446,50,Neutral,GO,0
150,4,4,1,109,1,0.60925673844758388,1,1,0,50,Congruent,NO-GO,0
151,3,3,1,110,1,0.94487143855076305,1,1,0,50,Congruent,NO-GO,0
152,1,2,0,120,1,0.974469000007957,2,1,0.46446903841569992,50,Incongruent,GO,0
153,4,4,1,109,1,0.50596247706562303,2,1,0.350426299963146,50,Congruent,GO,0
154,3,1,0,122,1,0.71403177699539788,2,1,0.31575159996282293,50,Incongruent,GO,0
155,5,4,2,109,1,0.47875833848957,1,1,0,50,Neutral,NO-GO,0
156,1,1,1,122,1,0.59458613849710695,2,1,0.56060600001365002,50,Congruent,GO,0
157,5,4,2,109,1,0.552213900024071,2,1,0.66360743844416004,50,Neutral,GO,0
158,2,1,0,122,1,0.62887939997017395,1,1,0,50,Incongruent,NO-GO,0
159,5,3,2,109,0,0.80895053839776687,2,1,0.865333199966699,50,Neutral,GO,0
160,4,4,1,109,1,0.56630029994994402,1,1,0,50,Congruent,NO-GO,0
161,5,2,2,120,1,0.61717089999001495,1,1,0,50,Neutral,NO-GO,0
162,2,3,0,110,1,0.46386210003402101,2,1,0.77754590008407787,50,Incongruent,GO,0
163,5,4,2,109,1,0.63805153849534701,2,1,0.72538143850397285,50,Neutral,GO,0
164,1,2,0,120,1,0.70771033840719588,2,1,0.90032820007763803,50,Incongruent,GO,0
165,4,3,0,110,1,0.53778123843949288,2,1,0.43035723839420792,50,Incongruent,GO,0
166,2,2,1,120,1,0.46604430000297692,2,1,0.38609330006875092,50,Congruent,GO,0
167,3,1,0,122,1,0.81391543848440095,1,1,0,50,Incongruent,NO-GO,0
168,1,2,0,120,1,0.75998691550921704,2,1,0.49833663844037801,50,Incongruent,GO,0
169,5,4,2,109,1,0.46948573843110403,1,1,0,50,Neutral,NO-GO,0
170,4,1,0,122,1,0.87341457710135695,2,1,0.50247843854594987,50,Incongruent,GO,0
171,5,3,2,110,1,0.459283499978483,1,1,0,50,Neutral,NO-GO,0
172,3,4,0,109,1,0.71521983842831105,1,1,0,50,Incongruent,NO-GO,0
173,5,2,2,120,1,0.75410640006884888,1,1,0,50,Neutral,NO-GO,0
174,4,3,0,110,1,0.47789367707446201,1,1,0,50,Incongruent,NO-GO,0
175,5,2,2,120,1,0.67652870004530985,1,1,0,50,Neutral,NO-GO,0
176,3,3,1,110,1,0.51764103840105202,2,1,0.68913150008302204,50,Congruent,GO,0
177,5,4,2,109,1,0.60998363851103887,1,1,0,50,Neutral,NO-GO,0
178,1,1,1,122,1,0.96944053843617395,2,1,0.52542670001275804,50,Congruent,GO,0
179,5,3,2,110,1,0.472981699975207,1,1,0,50,Neutral,NO-GO,0
180,1,1,1,122,1,0.72300691553391505,2,1,0.34953473845962402,50,Congruent,GO,0
181,2,2,1,120,1,0.82195223844610188,2,1,0.42173619999084588,50,Congruent,GO,1
182,1,1,1,122,1,0.58479509991593703,2,1,0.42425110004842292,50,Congruent,GO,0
183,2,2,1,120,1,0.419673099997453,1,1,0,50,Congruent,NO-GO,0
184,4,3,0,110,1,0.59690221550408795,2,1,0.405726499971934,50,Incongruent,GO,0
185,5,1,2,122,1,1.14566283847671,2,1,0.69880453846417401,50,Neutral,GO,0
186,4,4,1,109,1,0.52923619991633986,1,1,0,50,Congruent,NO-GO,0
187,3,3,1,110,1,0.40441319998353692,1,1,0,50,Congruent,NO-GO,0
188,1,2,0,120,1,1.0631758999079499,2,1,0.40181870001833903,50,Incongruent,GO,0
189,4,4,1,109,1,0.61619239998981401,2,1,0.45972959999926388,50,Congruent,GO,0
190,3,1,0,122,1,0.57331333844922505,2,1,0.38018020009622,50,Incongruent,GO,0
191,5,4,2,109,1,0.62846729997545503,1,1,0,50,Neutral,NO-GO,0
192,1,1,1,122,1,0.57193650002591301,2,1,0.36594689998310093,50,Congruent,GO,0
193,5,4,2,109,1,0.76996613841038186,2,1,0.68827403848990787,50,Neutral,GO,0
194,2,1,0,120,0,0.91682279994711302,1,1,0,50,Incongruent,NO-GO,0
195,5,3,2,110,1,0.43765480001457002,2,1,0.51261780003551405,50,Neutral,GO,0
196,4,4,1,109,1,0.35931157704908401,1,1,0,50,Congruent,NO-GO,0
197,5,2,2,120,1,0.72081490000709902,1,1,0,50,Neutral,NO-GO,0
198,2,3,0,110,1,0.67739237705245603,2,1,0.50789999996777602,50,Incongruent,GO,0
199,5,4,2,109,1,0.60610800003632903,2,1,0.36220469989348192,50,Neutral,GO,0
200,1,2,0,120,1,0.70841127703897688,2,1,0.49932639999315093,50,Incongruent,GO,0
201,4,3,0,110,1,0.77814629999920704,2,1,0.56219473842065804,50,Incongruent,GO,0
202,2,2,1,120,1,0.91021939995698598,2,1,0.81787701114080902,50,Congruent,GO,0
203,3,1,0,122,1,0.74343323847278986,1,1,0,50,Incongruent,NO-GO,0
204,1,2,0,120,1,0.57669773849192985,2,1,0.42397017707116902,50,Incongruent,GO,0
205,5,4,2,109,1,0.79420039989054203,1,1,0,50,Neutral,NO-GO,0
206,4,1,0,122,1,0.56631807703524795,2,1,0.32839719997718902,50,Incongruent,GO,0
207,5,3,2,110,1,0.41628060000948602,1,1,0,50,Neutral,NO-GO,0
208,3,4,0,109,1,0.95533979998435803,1,1,0,50,Incongruent,NO-GO,0
209,5,2,2,120,1,0.69694513850845385,1,1,0,50,Neutral,NO-GO,0
210,4,3,0,110,1,0.54834109998773795,1,1,0,50,Incongruent,NO-GO,0
211,5,2,2,120,1,0.51827060000505287,1,1,0,50,Neutral,NO-GO,0
212,3,3,1,110,1,0.446231800015084,2,1,0.70621319999918286,50,Congruent,GO,0
